trade_date,portfolio_return,benchmark_return,excess_return,regime,model_used
20250704,0.019174762690870695,0.023765076815783173,-0.004590314124912478,Range,Range_Model
20250711,-0.010219733898703216,0.00870445567327137,-0.018924189571974587,Dark,Dark_Model
20250718,-0.0021091818936329323,0.025661810815677227,-0.02777099270931016,Bull,Bull_Model
20250725,-0.02467567089044388,-0.011617175395322706,-0.013058495495121173,Bull,Bull_Model
20250801,0.011411371780720977,0.026596684327980243,-0.015185312547259265,Bull,Bull_Model
20250808,-0.009736338987621492,0.01699334752747396,-0.02672968651509545,Range,Range_Model
20250815,0.011658727049094552,0.028559188404551024,-0.016900461355456472,Bull,Bull_Model
20250822,-0.013804085697688321,-0.0046103490752877705,-0.00919373662240055,Bull,Bull_Model
20250829,-0.013305108251392708,-0.006914103266452314,-0.0063910049849403945,Bull,Bull_Model
20250905,0.0003892684633404744,0.01975621008555054,-0.019366941622210063,Bull,Bull_Model
20250912,-0.019194287891411418,-0.006188617999382899,-0.013005669892028518,Range,Range_Model
20250919,-0.01075846663608129,-0.008391841830992973,-0.0023666248050883167,Range,Range_Model
20250926,0.027018882138558367,0.021010340720176022,0.006008541418382345,Range,Range_Model
20250930,0.04142074374435833,0.017174684881085922,0.024246058863272406,Range,Range_Model
20251010,-0.0023412266674657273,-0.022812914404492658,0.02047168773702693,Range,Range_Model
20251017,0.020781962104494844,0.025184235561921196,-0.004402273457426352,Range,Range_Model
20251024,-0.003328399863696783,0.0074829117880107635,-0.010811311651707546,Dark,Dark_Model
20251031,-0.026549876997142757,0.01652330731392958,-0.043073184311072335,Range,Range_Model
20251107,-0.011053271454926173,0.01284486355234625,-0.023898135007272423,Range,Range_Model
20251114,-0.02751875183220598,-0.06354007414087819,0.03602132230867221,Range,Range_Model_Risk_Half
20251121,-0.006371669224939922,0.03033996191627415,-0.03671163114121407,Bull,Bull_Model
20251128,-0.013499415265085558,0.004046885455782054,-0.017546300720867613,Dark,Dark_Model
20251205,0.006850898536614264,-0.012867778313302618,0.01971867684991688,Range,Range_Model
20251212,0.001300383619617154,0.011228334627406692,-0.009927951007789537,Range,Range_Model
20251219,-0.004618340855236515,0.01701023214855895,-0.021628573003795466,Bear,Bear_Model
20251226,0.01658979562737324,0.02088724547616935,-0.004297449848796108,Range,Range_Model
20251231,0.0445873425403234,0.04542601208103857,-0.0008386695407151742,Range,Range_Model
20260109,-0.019252469631978155,0.0022350339440629706,-0.021487503576041126,Range,Range_Model
20260116,0.00839110768872911,0.03665384134289011,-0.028262733654161,Bull,Bull_Model
20260123,-0.0032769666815658815,-0.015344883103549454,0.012067916421983573,Bull,Bull_Model
20260130,0.00024454921558534227,-0.0025737707892632845,0.0028183200048486267,Bull,Bull_Model
20260206,-0.014905177125954853,0.0017883166677464448,-0.016693493793701296,Bull,Bull_Model
20260213,-0.008828676238095256,0.024652034041420134,-0.033480710279515394,Range,Range_Model
20260227,-0.050904890916824805,-0.020051642120477515,-0.03085324879634729,Dark,Dark_Model
20260306,-0.011464128127313154,-0.0029732271853438676,-0.008490900941969286,Range,Range_Model
20260313,-0.02523319674240605,-0.05107314583420361,0.02583994909179756,Range,Range_Model_Risk_Half
20260320,-0.006688779955893223,0.0035187145526466347,-0.010207494508539857,Dark,Dark_Model
20260327,-0.047958973076470346,-0.030069591047136968,-0.01788938202933338,Dark,Dark_Model
20260403,0.03840418188843121,0.04036115379011239,-0.001956971901681176,Dark,Dark_Model
20260410,-0.005833527339440632,0.013962270958722203,-0.019795798298162835,Dark,Dark_Model
20260417,-0.02425431285918855,4.1300114447258746e-05,-0.02429561297363581,Dark,Dark_Model
20260424,0.052708321678896414,0.020930458663660226,0.03177786301523619,Dark,Dark_Model
20260430,-0.0001541123692964082,0.027431533610613727,-0.027585645979910135,Range,Range_Model
20260508,-0.03569525013712471,-0.020041858876791347,-0.015653391260333365,Range,Range_Model
20260515,0.0,-0.39990951323233914,0.39990951323233914,Bull,Bull_Model_Risk_Stop
20260522,0.797,0.5435195322155616,0.25348046778443845,Dark,Dark_Model
20260529,-0.0029984593734297214,-0.007081926951847083,0.004083467578417361,Range,Range_Model
20260605,-0.041021286882194224,-0.026391829565731727,-0.014629457316462497,Dark,Dark_Model
20260612,0.0,-0.35593993878690566,0.35593993878690566,Bear,Bear_Model_Risk_Stop
20260618,-0.06391880296728947,-0.04476537836716513,-0.019153424600124334,Dark,Dark_Model
20260626,0.797,0.6013357680096102,0.19566423199038985,Bear,Bear_Model
