trade_date,regime,ret_20d,vol_20d,drawdown_5d
20230113,Range,-0.02861358223558308,0.8589144715841056,-0.004949116577864348
20230120,Range,-0.017726033491698212,0.8859485144754354,-0.01067409465386625
20230203,Bull,0.060677352940145424,0.661526410980884,-0.0018570272669624682
20230210,Dark,0.08583878818930724,0.5947397304492608,-0.0032416506329112924
20230217,Bull,0.06296229017879384,0.5799776434657191,-0.0057271767157886485
20230224,Bull,0.05259633325432356,0.7253930438594693,-0.02130757890150955
20230303,Range,0.04566376928482474,0.7514373962944181,-0.0066867617533614065
20230310,Range,0.030537913624393953,0.7238152128081975,-0.008001390981434318
20230317,Dark,-0.00834321299786478,0.8556551347789049,-0.029325378510385053
20230324,Range,-0.0021830825229569584,0.8878426745402058,-0.023498264414855544
20230331,Range,-0.012294108792812675,0.8597080191180437,-0.012127405494995698
20230407,Range,-0.028366592200614993,0.8372423410359292,-0.014959488461019453
20230414,Range,-0.007935983796235169,0.8002710525777706,-0.008846031852909681
20230421,Range,0.01644293527007812,0.5486735500360802,-0.009012631339766462
20230428,Dark,-0.02831732378891616,0.6822471958146429,-0.03332890154385765
20230505,Range,-0.001450125903025401,0.8679776472349899,-0.04371977781238484
20230512,Range,-0.012955065031348911,0.8579484382217233,-0.03024858481382073
20230519,Dark,-0.011937485118140745,0.893496678881167,-0.013903113757831405
20230526,Range,-0.01874276881843484,0.9147880056067509,-0.011058495379429593
20230602,Range,0.022371738553225384,0.7386469166368125,-0.016756481842366777
20230609,Range,-0.005164194917665288,0.6123676996382899,-0.006263054321050617
20230616,Range,-0.003051757232714003,0.6262027095599706,-0.01565286528822057
20230621,Range,0.014042834797123982,0.5900256352198713,0.0
20230630,Dark,0.003511889709661764,0.6062712113694851,-0.02096511061015705
20230707,Range,0.026081541490027504,0.8211523333609417,-0.034109278250048
20230714,Range,0.026247482002159872,0.7288858271522807,-0.007415077628410703
20230721,Range,0.019146618000449367,0.7840889892905649,-0.009260229036295513
20230728,Range,0.02394995821212853,0.7323305870136042,-0.008536211514392893
20230804,Range,0.02503585052846602,0.6428671750725197,-0.0076001351290419135
20230811,Range,0.031042320151678515,0.6440829350980785,-0.002148939299123875
20230818,Dark,-0.00609052793224385,0.7509713172561564,-0.022943047405189345
20230825,Dark,-0.009863850479153613,0.849088711018468,-0.02467804219598896
20230901,Dark,-0.06482960026730067,0.7771152010501537,-0.03344743880041333
20230908,Range,-0.04165588997301195,1.017571496379683,-0.01672567155271019
20230915,Range,-0.016284242945341143,1.0585095938419709,-0.02023319880364215
20230922,Range,-0.004621657677596369,1.0109754922716798,-0.012209433919930342
20230928,Range,0.030073054616427175,0.9764451479537661,-0.019723136270920837
20231013,Range,0.0021817911886736763,0.7994027893095161,-0.010331032242074515
20231020,Dark,-0.014319319136909536,0.6724425570598784,-0.013949600276626803
20231027,Dark,-0.04307040188213096,0.7090198419761619,-0.030828371826230133
20231103,Dark,-0.0032436881823971753,1.0760795337274005,-0.050808855197298025
20231110,Range,-0.008900226929175692,1.0458838298747715,-0.007450077736318338
20231117,Range,0.019599424762327455,1.051426868939738,-0.004730318346457946
20231124,Bull,0.07147840318927678,0.946228947263848,-0.005973472602739679
20231201,Dark,0.041110129915252314,0.6323600112491524,-0.0076957600994406435
20231208,Range,0.03434650112763826,0.6072484935433888,-0.01009236910594519
20231215,Dark,-8.630441019474855e-05,0.6652814216189608,-0.02181665708782546
20231222,Dark,-0.0071794397272620936,0.6719126764240531,-0.0077439708901261015
20231229,Dark,-0.03456042786880609,0.6946274116296394,-0.026569716696218885
20240105,Range,-0.01773608969637852,0.8522313812423121,-0.022538738970039045
20240112,Dark,-0.018880919258793538,0.8526759034638023,-0.01588053036988624
20240119,Range,-0.030931997611397977,0.9080857459294174,-0.03274723986791103
20240126,Dark,-0.049249947423052776,0.9755568475257159,-0.04003440962108703
20240202,Dark,-0.03669983448126135,1.7724584632623996,-0.0867019734726476
20240208,Dark,-0.1641916642222082,2.099774241320146,-0.11162816059588393
20240223,Dark,-0.1595366339578982,2.755734923492669,-0.1422978381066832
20240301,Dark,-0.04866149096351913,2.984309294929373,0.0
20240308,Dark,-0.030224630375952688,2.8852316285268085,-0.04489035352286768
20240315,Dark,0.07692045125690794,2.5885569608107795,-0.01080755589870289
20240322,Dark,0.15388630895875477,1.5978239467655382,-0.002362766049382716
20240329,Dark,0.0673357427877701,1.528178252071146,-0.012191114885731914
20240403,Dark,0.0332583278118892,1.1183006983669967,-0.05032171284096665
20240412,Range,0.054709513409610055,1.14730802560191,-0.02351396804025814
20240419,Range,0.00147413268043195,1.2483504217389956,-0.025329255029831833
20240426,Dark,-0.05977804606998527,1.9788364160343297,-0.07672934546097349
20240430,Dark,0.009082922897937218,1.9214144691197814,-0.012470346204111698
20240510,Dark,-0.00035846478093171097,1.9472100325297717,-0.005457611318408023
20240517,Dark,0.01251624933341633,1.9444733826043619,-0.010571200865265752
20240524,Dark,0.11465788785049158,1.3567226787366307,-0.013169307232892556
20240531,Dark,0.044379058982144004,1.1494804136408896,-0.03608618312655707
20240607,Range,-0.011904927184307246,0.9978331892321195,-0.03197691180666128
20240614,Dark,-0.0788983520365577,1.143337601989724,-0.06144663241013863
20240621,Bear,-0.0708114725561444,1.1652278376272898,-0.030336963698316725
20240628,Bear,-0.0790602579981059,1.1243313883877708,-0.025913252680621706
20240705,Dark,-0.08072562995740118,1.418444285566239,-0.05506132438812493
20240712,Dark,-0.027730136281068685,1.3654798821356353,-0.02702904142905783
20240719,Dark,-0.042124126325388866,1.553740816749347,-0.04190653415402577
20240726,Dark,-0.03273955086944802,1.4893900992672988,-0.019492786379673357
20240802,Range,-0.023337287263823336,1.3079905784144659,-0.029241040554766375
20240809,Dark,0.009677657296573328,1.367616232805201,-0.00918061328312197
20240816,Dark,-0.006005493469360523,1.1673938437335438,-0.028044916380753623
20240823,Dark,-0.0022711973236256844,1.1785662522158271,-0.016313284980984576
20240830,Range,-0.029370094337184405,1.111084379174255,-0.03562535722953448
20240906,Range,-0.02941481201642504,0.9818625905553442,-0.01734492961188083
20240913,Dark,-0.033822754014042666,0.9492244836109597,-0.01367326707692294
20240920,Dark,-0.04058909992223769,0.9108664737343478,-0.020946646153477626
20240927,Range,-0.002859531067760379,0.99962899718648,-0.017470327791278183
20240930,Dark,0.1443199524116423,1.5879341870196264,0.0
20241011,Dark,0.22663787879176667,2.3296938669674097,0.0
20241018,Dark,0.14893021307220433,3.196178685990837,-0.09742441550975586
20241025,Dark,0.19336289475107216,3.2491948451631294,-0.07616971089653496
20241101,Dark,0.24610661643348686,3.193171493533647,0.0
20241108,Dark,0.1150015260308892,3.1316666074714705,-0.017214577846153933
20241115,Dark,0.17029109383351249,1.4869666852616976,-0.0035000934234787687
20241122,Dark,0.10180133048544149,1.5353526524286676,-0.046067557094314225
20241129,Dark,0.038097218932062304,1.7371908014358874,-0.05081577660174982
20241206,Dark,0.07250175022820193,1.5395651003728796,-0.020677825039105594
20241213,Dark,0.03516414244099897,1.433847941626626,-0.011982780923076886
20241220,Dark,0.08573989601072585,1.317193442734673,-0.017738342558425543
20241227,Range,0.06473732235728469,1.1936199459231986,-0.048417842455636184
20250103,Dark,-0.0012979361521258115,1.4413938155056827,-0.035828662063153695
20250110,Dark,-0.0914749846063656,1.541575338868605,-0.07230855150444472
20250117,Dark,-0.14195375264697507,1.440813655450012,-0.0677672024546283
20250124,Dark,-0.05884577937336544,1.660671441885892,-0.02396813029029761
20250127,Dark,-0.03436443101949116,1.4783305653226382,-0.013696781369494837
20250207,Dark,-0.046557347052914144,1.4563142864350644,-0.013696781369494837
20250214,Dark,0.028686182180503117,1.4128550879055912,-0.005601219055434605
20250221,Range,0.0648555889611635,1.2165602438082288,-0.006188808199423145
20250228,Bull,0.056556251557461135,0.8696167322114903,-0.018286179864947856
20250307,Dark,0.052420368281755,1.0276439281600593,-0.021534220994475186
20250314,Range,0.03677396790518839,0.9815861147896623,-0.018841645347300366
20250321,Range,0.04876115083284449,0.9878921077838007,-0.0060370789957133264
20250328,Dark,0.03503098888704881,0.8820681338976196,-0.011800917279411863
20250403,Dark,0.02600119919049737,0.7693837056057327,-0.0216633713319874
20250411,Range,0.0010117839800618533,0.7796966422477062,-0.027769292310526383
20250418,Dark,-0.05257220472521862,2.232248000751769,-0.09210155671512571
20250425,Dark,-0.06439197618145731,2.238551874107511,-0.008456106837606886
20250430,Dark,-0.02948481117631563,2.2427812952783968,-0.0040859383394383905
20250509,Dark,-0.022298107634221576,2.2234019482521847,-0.013759662523969825
20250516,Dark,0.10761548950506272,0.9989370810393705,-0.006720645909645875
20250523,Range,0.049477059521621625,0.7954652500185345,-0.006049830177153344
20250530,Dark,0.032866709690441365,0.8407630510909193,-0.021223986864502557
20250606,Dark,0.05145702121821172,0.8364224508052341,-0.014322203182055734
20250613,Range,0.029530547869658808,0.7129166211193465,-0.009935502138057346
20250620,Dark,0.02566802949061686,0.786905322295692,-0.0154621778728606
20250627,Range,-0.00334993630897773,0.8121400838105421,-0.024328688929538548
20250704,Range,0.026430398805036504,0.8715126226974579,-0.012890923336608089
20250711,Dark,0.03116367955842536,0.8367842746418811,-0.004770793166564961
20250718,Bull,0.05923267591187953,0.7177294729367281,-0.0007242347560975025
