trade_date,regime,ret_20d,vol_20d,drawdown_5d
20200214,Dark,-0.06388776623555414,2.391104725979157,-0.12947959993840327
20200221,Dark,-0.06645362194856863,2.3890475215915687,-0.00997639482641256
20200228,Dark,-0.0016517958666365518,2.555698993722538,-0.0036394840027229925
20200306,Dark,-0.0129285840054143,2.68141739765848,-0.05813058327078661
20200313,Dark,0.12016969112877107,1.8109428811098207,-0.015165014817452267
20200320,Dark,0.044775241698824075,2.0501770983999568,-0.03803398386891734
20200327,Dark,-0.054229351660822434,2.0699004838688504,-0.07028152678116416
20200403,Dark,-0.006258082874868287,2.0522028345326984,-0.03543487364130436
20200410,Dark,-0.09120027349925841,1.7572053819328841,-0.025227642622299897
20200417,Dark,-0.03750515687412326,1.7494437232105151,-0.019292893269884488
20200424,Dark,0.031164977340730315,1.5505827058872412,-0.025032009913223904
20200430,Dark,0.015986225119293707,1.1728240524138525,-0.01725346319565788
20200508,Range,0.03630326689204666,1.2341426858503914,-0.03776274288835839
20200515,Range,0.01803874459339294,1.0671735729284493,-0.03524738152903967
20200522,Range,0.01682781272215128,0.8961289093633352,-0.007532777928232887
20200529,Dark,-0.004598731513797971,0.968813974503923,-0.028119614557414043
20200605,Range,0.04996882888231324,0.855028499127908,-0.027495505479563823
20200612,Range,0.037737624899078615,0.8530162822979691,0.0
20200619,Range,0.03613953288859495,0.8424860773480046,-0.006598035767113811
20200624,Bull,0.07982899698178936,0.7264554539608861,-0.00987051379882353
20200703,Bull,0.05771908252982216,0.6732555772217328,-0.0035930088581662277
20200710,Bull,0.06906580577875321,0.6632636780271803,-0.008241597488296006
20200717,Dark,0.15558521355649302,1.1971853539777728,-0.00695088274932606
20200724,Dark,0.09819663759653618,1.8101947907612497,-0.06721869077810155
20200731,Dark,0.09806972443393014,2.1786113725830383,-0.04068869019130449
20200807,Dark,0.09561175876028649,2.175404197301776,-0.03957226708993921
20200814,Dark,0.029794222664907943,1.9901336781569414,-0.010084740915208484
20200821,Dark,0.07037436213856241,1.5715436058287826,-0.02419249764091783
20200828,Range,0.081736290247715,1.1463513066516064,-0.020425403398679674
20200904,Range,0.030153074572905947,1.1867015941116459,-0.02533248740380073
20200911,Range,0.0015656581459708718,1.0012133166866417,-0.011606681715358346
20200918,Dark,-0.039177054761788566,1.165844600110316,-0.051178560382789194
20200925,Bear,-0.030758517144700237,1.0803513686571355,-0.025654937716839476
20200930,Bear,-0.06280551061379758,1.0897678205916297,-0.036764433670889905
20201009,Bear,-0.0764395223554204,1.0987661336597534,-0.03732387717471973
20201016,Bear,-0.04654298571053883,1.2690761784183444,-0.03732387717471973
20201023,Range,0.023430197297870325,1.1760518063522476,-0.011463445676623144
20201030,Dark,-0.017401992105714137,1.206627733462596,-0.02412283187195774
20201106,Dark,-0.023028979818149553,1.090135755102412,-0.027104164558483912
20201113,Range,-0.005461126785922699,1.049715314870028,-0.02522008123834055
20201120,Range,-0.012390533881323496,0.9740180564772966,-0.010420332079090685
20201127,Range,0.03678605712944516,0.9564375076869452,-0.0029648281353681443
20201204,Bull,0.05716041486040613,0.8476448744558542,-0.014884173336705326
20201211,Range,0.03937584952944051,0.7214142089759393,-0.014940375526095872
20201218,Dark,-0.005019974293613894,0.771814425137277,-0.03022437855327394
20201225,Range,-0.02244950607232965,0.7071649702576337,-0.02279428580470387
20201231,Range,-0.025019467820896257,0.8953983465606079,-0.02720760518866729
20210108,Range,-0.029134182410609055,0.923388294042308,-0.017073882861881846
20210115,Range,-0.02557206777309473,0.9990882563406146,-0.027812573874339486
20210122,Bear,-0.03263671696750359,1.0995504705653987,-0.04909946533226895
20210129,Dark,0.001836757661402899,1.0287257905329696,-0.009548368944923712
20210205,Dark,-0.05675126469157088,1.0436885658433863,-0.032887809606442706
20210210,Range,-0.06825582408708386,1.016958712961533,-0.03637654808184836
20210219,Range,-0.01783591984866273,0.9996035658570895,-0.03637654808184836
20210226,Range,0.021044837433832342,1.2569668642258258,-0.03216438235911754
