trade_date,portfolio_return,benchmark_return,excess_return,regime,model_used
20220610,-0.006771566601917076,0.010504260787660771,-0.017275827389577846,Range,Jack_Range_Reversion
20220617,-0.0010745369126516887,0.017845288890724162,-0.01891982580337585,Range,Jack_Range_Reversion
20220624,0.00434392374227758,0.008477936319534522,-0.004134012577256942,Range,Jack_Range_Reversion
20220701,9.527524848185458e-05,-0.00595330492860328,0.006048580177085134,Bull,Jack_Bull_Momentum
20220708,-0.04624561799440115,-0.023565239798768935,-0.022680378195632213,Bull,Jack_Bull_Momentum
20220715,0.009506121600433771,0.033688056301026524,-0.024181934700592753,Range,Jack_Range_Reversion
20220722,0.0005,0.007740251339687074,-0.007240251339687073,Dark,Jack_Dark_Empty
20220729,-0.011029658453948484,-0.01910316583648524,0.008073507382536756,Range,Jack_Range_Reversion
20220805,0.0005,0.028154556118487863,-0.027654556118487862,Dark,Jack_Dark_Empty
20220812,-0.012116079562121958,0.003978025213137199,-0.016094104775259157,Range,Jack_Range_Reversion
20220819,0.002251720881067112,-0.011149528503588474,0.013401249384655586,Range,Jack_Range_Reversion
20220826,-0.02796293292588122,-0.012900906734001794,-0.015062026191879425,Range,Jack_Range_Reversion
20220902,-0.003000078037494811,0.018342103667005023,-0.021342181704499835,Range,Jack_Range_Reversion
20220909,0.0,-0.06185083711519008,0.06185083711519008,Range,Jack_Range_Reversion_Risk_Stop
20220916,-0.0104963760637353,-0.0142811446874989,0.0037847686237636007,Range,Jack_Range_Reversion
20220923,0.0005,-0.03712645998000268,0.03762645998000268,Dark,Jack_Dark_Empty
20220930,0.0005,0.041148361665886604,-0.040648361665886604,Dark,Jack_Dark_Empty
20221014,0.0005,0.0016540871757534223,-0.0011540871757534223,Bear,Jack_Bear_Empty
20221021,0.0005,-0.036003499364299266,0.036503499364299266,Dark,Jack_Dark_Empty
20221028,0.0005,0.06363407658329705,-0.06313407658329705,Dark,Jack_Dark_Empty
20221104,0.0005,0.01338953334698873,-0.01288953334698873,Dark,Jack_Dark_Empty
20221111,0.0005,0.009190717933296847,-0.008690717933296847,Dark,Jack_Dark_Empty
20221118,0.008766864033757385,-0.0055173502604636895,0.014284214294221075,Range,Jack_Range_Reversion
20221125,0.0005,0.026294383125414315,-0.025794383125414315,Dark,Jack_Dark_Empty
20221202,-0.04157995910590575,0.005765648921985762,-0.04734560802789151,Bull,Jack_Bull_Momentum
20221209,-0.0008800960427855138,-0.014171352885232495,0.013291256842446982,Range,Jack_Range_Reversion
20221216,-0.05198777684496941,-0.047924113943610486,-0.004063662901358928,Range,Jack_Range_Reversion
20221223,0.022989319319138682,0.014080789712017379,0.008908529607121303,Range,Jack_Range_Reversion
20221230,0.03264592314029977,0.027763766138665224,0.004882157001634548,Range,Jack_Range_Reversion
20230106,-0.0010738093606498884,0.0013862981431659008,-0.002460107503815789,Range,Jack_Range_Reversion
20230113,0.023159635118445803,0.02651315665710391,-0.003353521538658106,Range,Jack_Range_Reversion
20230120,-0.006156681960329188,0.024570657497631532,-0.03072733945796072,Range,Jack_Range_Reversion
20230203,0.012745159002882648,0.008440627770499835,0.004304531232382813,Bull,Jack_Bull_Momentum
20230210,0.0005,-0.009307826742348188,0.009807826742348189,Dark,Jack_Dark_Empty
20230217,-0.008491146943729364,0.019815973019065868,-0.02830711996279523,Bull,Jack_Bull_Momentum
20230224,-0.01435509412143908,0.011529923171162965,-0.025885017292602043,Bull,Jack_Bull_Momentum
20230303,-0.015648903127262356,-0.029785515514761277,0.014136612387498922,Range,Jack_Range_Reversion
20230310,-0.015859202864344554,-0.00329297632139241,-0.012566226542952143,Range,Jack_Range_Reversion
20230317,0.0005,0.009967388640354824,-0.009467388640354823,Dark,Jack_Dark_Empty
20230324,-0.01878179866785654,-0.00500471368606632,-0.01377708498179022,Range,Jack_Range_Reversion
20230331,0.023495746581721624,-0.003340526777789717,0.02683627335951134,Range,Jack_Range_Reversion
20230407,-0.006458410811833935,-0.00044445493944195435,-0.00601395587239198,Range,Jack_Range_Reversion
20230414,-0.004684993787542243,-0.026136916121070684,0.02145192233352844,Range,Jack_Range_Reversion
20230421,-0.029915970919856434,0.011799547292253026,-0.04171551821210946,Range,Jack_Range_Reversion
20230428,0.0005,0.00306251362922042,-0.00256251362922042,Dark,Jack_Dark_Empty
20230505,-0.03189726789700137,-0.007383109631268944,-0.024514158265732423,Range,Jack_Range_Reversion
20230512,-0.003737294974720415,0.002844088010572276,-0.006581382985292691,Range,Jack_Range_Reversion
20230519,0.0005,-0.0077690018660295035,0.008269001866029503,Dark,Jack_Dark_Empty
20230526,-0.0028640857343919164,0.00667290305986033,-0.009536988794252247,Range,Jack_Range_Reversion
20230602,-0.04658038642973579,-0.003653207750011665,-0.04292717867972413,Range,Jack_Range_Reversion
20230609,0.04933433711214731,0.020089988506471118,0.029244348605676193,Range,Jack_Range_Reversion
20230616,-0.0071224830797153,-0.014927734529998068,0.007805251450282768,Range,Jack_Range_Reversion
20230621,0.009969563517876458,0.021361947355059523,-0.011392383837183065,Range,Jack_Range_Reversion
20230630,0.0005,0.002673327494682701,-0.002173327494682701,Dark,Jack_Dark_Empty
20230707,0.0080722618583879,0.006595145531629291,0.0014771163267586086,Range,Jack_Range_Reversion
20230714,-0.00845086337050471,-0.007190625461106456,-0.0012602379093982537,Range,Jack_Range_Reversion
20230721,0.03847543919274693,0.02275121918030539,0.01572422001244154,Range,Jack_Range_Reversion
20230728,-0.0018070158466224036,0.007444079804223932,-0.009251095650846336,Range,Jack_Range_Reversion
20230804,0.0005787647298894499,-0.029501969259863453,0.030080733989752903,Range,Jack_Range_Reversion
20230811,-0.017549835160170356,-0.01110677187762846,-0.006443063282541897,Range,Jack_Range_Reversion
20230818,0.0005,-0.03341911520744417,0.03391911520744417,Dark,Jack_Dark_Empty
20230825,0.0005,0.03263953297989472,-0.03213953297989472,Dark,Jack_Dark_Empty
20230901,0.0005,-0.003928612944115479,0.004428612944115479,Dark,Jack_Dark_Empty
20230908,0.0102990559991657,0.0010422974998153063,0.009256758499350393,Range,Jack_Range_Reversion
20230915,0.007217443448684393,-0.0005724952345010261,0.007789938683185419,Range,Jack_Range_Reversion
20230922,0.006274286711731038,-0.006771780934117288,0.013046067645848326,Range,Jack_Range_Reversion
20230928,-0.019011280101044012,-0.013792321288668852,-0.0052189588123751594,Range,Jack_Range_Reversion
20231013,-0.03958380504358348,-0.032242941246745094,-0.007340863796838383,Range,Jack_Range_Reversion
20231020,0.0005,0.029502296794428753,-0.029002296794428752,Dark,Jack_Dark_Empty
20231027,0.0005,0.00647415615242971,-0.005974156152429711,Dark,Jack_Dark_Empty
20231103,0.0005,0.013375028459141484,-0.012875028459141484,Dark,Jack_Dark_Empty
20231110,-0.0006248015166486296,0.0169276952851022,-0.017552496801750826,Range,Jack_Range_Reversion
20231117,0.0068028985646266605,0.0017402031976001117,0.005062695367026549,Range,Jack_Range_Reversion
20231124,0.03323557449996525,0.0015221403616151122,0.031713434138350136,Bull,Jack_Bull_Momentum
20231201,0.0005,-0.020918588967856675,0.021418588967856676,Dark,Jack_Dark_Empty
20231208,-0.006809260462412323,0.00947409578075203,-0.016283356243164356,Range,Jack_Range_Reversion
20231215,0.0005,-0.027924976161835282,0.028424976161835282,Dark,Jack_Dark_Empty
20231222,0.0005,0.01899720377508184,-0.01849720377508184,Dark,Jack_Dark_Empty
20231229,0.0005,-0.027008030924563498,0.027508030924563498,Dark,Jack_Dark_Empty
20240105,-0.014993356630714424,-0.010744843129854093,-0.004248513500860331,Range,Jack_Range_Reversion
20240112,0.0005,-0.038277402659196165,0.038777402659196165,Dark,Jack_Dark_Empty
20240119,0.037754471406127074,0.012665222886768341,0.02508924851935873,Range,Jack_Range_Reversion
20240126,0.0005,-0.12874934214492392,0.12924934214492392,Dark,Jack_Dark_Empty
20240202,0.0005,0.030085970579424044,-0.029585970579424043,Dark,Jack_Dark_Empty
20240208,0.0005,0.09128378954018769,-0.09078378954018769,Dark,Jack_Dark_Empty
20240223,0.0005,0.018339603536427104,-0.017839603536427103,Dark,Jack_Dark_Empty
20240301,0.0005,0.0014135932784379375,-0.0009135932784379375,Dark,Jack_Dark_Empty
20240308,0.0005,0.03368963616185122,-0.03318963616185122,Dark,Jack_Dark_Empty
20240315,0.0005,0.009800204048399761,-0.009300204048399761,Dark,Jack_Dark_Empty
20240322,0.0005,-0.012092859308505495,0.012592859308505495,Dark,Jack_Dark_Empty
20240329,0.0005,0.012203281018327043,-0.011703281018327042,Dark,Jack_Dark_Empty
